model,prune_amount,baseline_acc,acc_after_prune,acc_after_finetune,sparsity
CNN,0.3,0.9891,0.989,0.9924,0.2999990508011239
CNN,0.5,0.9891,0.9888,0.9913,0.5
CNN,0.7,0.9891,0.9896,0.9932,0.7000009491988761
CNN,0.9,0.9891,0.9744,0.9933,0.8999995254005619
CNN,0.99,0.9891,0.2949,0.9738,0.9900001898397752
